"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"70","4.2256070558768549E-1","1.0445872655344480E-23","7.6574969485122145E-26","-1.4807799211244929E-12","1.4187028714820300E+0","3.6071806099815605E-25","2.7536814675018801E+0","7.4395802607689294E+0","3.2977083782967085E+1","1.0815575565166201E+2","1.215058560962404E-2"
"71","4.2274765453774060E-1","-5.4138093768633086E-23","5.0069266082151571E-25","-1.8461264579525107E-12","1.4180134253725234E+0","8.1232126954894306E-25","2.7538557938164101E+0","7.4394685269754790E+0","3.2976588505741908E+1","1.0807520754999200E+2","1.215058560962404E-2"
"72","4.2293464395621527E-1","2.5194656346870210E-22","2.4630765985535025E-25","-1.1709755078933687E-12","1.4173241488601247E+0","1.3757359632198861E-24","2.7540300619060298E+0","7.4393561734273987E+0","3.2976090481359016E+1","1.0799470225410900E+2","1.215058560962404E-2"
"73","4.2312167380244586E-1","1.5864846701269356E-22","-8.0327386870113098E-26","-6.9357958122987293E-13","1.4166350419837799E+0","-1.1972452623075120E-25","2.7542042717343200E+0","7.4392431991198125E+0","3.2975589705364129E+1","1.0791423323631200E+2","1.215058560962404E-2"
"74","4.2330874403572427E-1","-2.1209985076609484E-22","-2.6874882985672806E-25","-2.0111051697950621E-12","1.4159461047824689E+0","-1.5393339167158847E-25","2.7543784232648800E+0","7.4391296030466521E+0","3.2975086173297704E+1","1.0783380578264000E+2","1.215058560962404E-2"
"75","4.2349585461525152E-1","-1.1934633571203649E-22","1.6183613169911626E-25","-1.0354902325365506E-12","1.4152573372951127E+0","5.8700591068671386E-25","2.7545525164620601E+0","7.4390153842000784E+0","3.2974579880692346E+1","1.0775342241763400E+2","1.215058560962404E-2"
"76","4.2368300550023946E-1","-9.0148734275101411E-24","5.7311675349581511E-27","4.0105813881140322E-14","1.4145687395607478E+0","-1.9158326535969719E-25","2.7547265512894601E+0","7.4389005415709688E+0","3.2974070823074939E+1","1.0767307277195400E+2","1.215058560962404E-2"
"77","4.2387019664982239E-1","-9.2971761506182383E-23","-2.5768847221257646E-25","-1.8807711150209942E-12","1.4138803116185403E+0","-1.6582162714459228E-24","2.7549005277107499E+0","7.4387850741482850E+0","3.2973558995963920E+1","1.0759277118743999E+2","1.215058560962404E-2"
"78","4.2405742802307639E-1","1.1766112450382292E-22","3.8307626300882819E-25","-1.5828462172326389E-12","1.4131920535074167E+0","6.7334699425998717E-25","2.7550744456905498E+0","7.4386689809200757E+0","3.2973044394873661E+1","1.0751250791173899E+2","1.215058560962404E-2"
"79","4.2424469957902611E-1","1.2597671989798174E-22","-7.5076285408111219E-26","-7.0430518069448259E-13","1.4125039652666171E+0","-5.2460930638481311E-25","2.7552483051927399E+0","7.4385522608721075E+0","3.2972527015308401E+1","1.0743228486979901E+2","1.215058560962404E-2"
"80","4.2443201127668023E-1","-1.5393937109219141E-22","1.0605698422169794E-25","-8.9996872122016398E-13","1.4118160469353067E+0","6.4894706375683214E-25","2.7554221061813098E+0","7.4384349129892158E+0","3.2972006852768281E+1","1.0735210056128101E+2","1.215058560962404E-2"
"81","4.2461936307497850E-1","1.3313049554926336E-22","-6.0428747314014039E-27","-1.4581251907180741E-12","1.4111282985526576E+0","-2.5074168108473285E-25","2.7555958486205498E+0","7.4383169362546049E+0","3.2971483902746193E+1","1.0727195833640600E+2","1.215058560962404E-2"
"82","4.2480675493279985E-1","1.1866011530802719E-22","-1.2133537202604730E-25","-1.8214801395843709E-12","1.4104407201579263E+0","-1.3588467590764364E-24","2.7557695324747900E+0","7.4381983296496372E+0","3.2970958160726873E+1","1.0719185485088600E+2","1.215058560962404E-2"
"83","4.2499418680897949E-1","2.2410360409857718E-22","5.1464673000063139E-25","-9.2189173454448591E-13","1.4097533117903565E+0","6.4399583558162830E-25","2.7559431577085398E+0","7.4380790921544069E+0","3.2970429622189421E+1","1.0711179584301399E+2","1.215058560962404E-2"
"84","4.2518165866233826E-1","2.5855008811235572E-22","6.5767413979554435E-26","-1.5457586465805007E-12","1.4090660734892897E+0","6.0427957551532863E-25","2.7561167242858402E+0","7.4379592227475468E+0","3.2969898282606472E+1","1.0703177448065900E+2","1.215058560962404E-2"
"85","4.2536917045158551E-1","-3.2142181383017811E-23","3.8451049090505471E-25","-2.4010648868419696E-13","1.4083790052940504E+0","8.9271520952828989E-25","2.7562902321715499E+0","7.4378387204058294E+0","3.2969364137442426E+1","1.0695179740057300E+2","1.215058560962404E-2"
"86","4.2555672213545298E-1","3.7854688124114670E-23","-7.0636860380416534E-26","-2.3592806908675395E-12","1.4076921072441064E+0","-7.1215238876835444E-25","2.7564636813296102E+0","7.4377175841047185E+0","3.2968827182155849E+1","1.0687185931194701E+2","1.215058560962404E-2"
"87","4.2574431367254689E-1","-8.9983263185108216E-23","5.4970899276653038E-26","-1.5803501374820600E-12","1.4070053793787611E+0","-3.6149640515828568E-25","2.7566370717253101E+0","7.4375958128181381E+0","3.2968287412198521E+1","1.0679196248756200E+2","1.215058560962404E-2"
"88","4.2593194502147957E-1","-5.7475484825965150E-23","-4.9071495140668478E-26","-1.3766939090594809E-13","1.4063188217375118E+0","6.4296260416282343E-25","2.7568104033230600E+0","7.4374734055183573E+0","3.2967744823014854E+1","1.0671210861429100E+2","1.215058560962404E-2"
"89","4.2611961614081034E-1","1.4241679156000081E-22","1.8285130168995358E-25","-9.4077727637856253E-13","1.4056324343599425E+0","3.1769729041753620E-25","2.7569836760872000E+0","7.4373503611760921E+0","3.2967199410042390E+1","1.0663229400254400E+2","1.215058560962404E-2"
"90","4.2630732698902896E-1","4.6657616136736344E-23","-5.6821571101050913E-26","-1.5481771998951946E-12","1.4049462172855089E+0","-9.0338885329519090E-26","2.7571568899828200E+0","7.4372266787607213E+0","3.2966651168712744E+1","1.0655252018422000E+2","1.215058560962404E-2"
"91","4.2649507752457250E-1","-2.8144738290707418E-22","2.2171970639692153E-25","-1.1450509127015584E-12","1.4042601705537856E+0","9.6890325687091209E-25","2.7573300449748501E+0","7.4371023572397510E+0","3.2966100094449224E+1","1.0647278750157101E+2","1.215058560962404E-2"
"92","4.2668286770584812E-1","-4.1562527178005240E-23","-2.0707360941300716E-25","-9.8281673594994248E-13","1.4035742942044283E+0","-4.8621940285448071E-25","2.7575031410280002E+0","7.4369773955792962E+0","3.2965546182668987E+1","1.0639309602004100E+2","1.215058560962404E-2"
"93","4.2687069749120393E-1","-9.9319394787578658E-23","-3.0911656031843469E-25","-6.9107875292774227E-13","1.4028885882770641E+0","-3.9392981713629815E-25","2.7576761781073200E+0","7.4368517927439530E+0","3.2964989428782438E+1","1.0631344430008799E+2","1.215058560962404E-2"
"94","4.2705856683892884E-1","-1.8255048417170391E-22","-4.7924533126601259E-25","-6.0872883286901632E-13","1.4022030528114404E+0","-1.6084940223076384E-24","2.7578491561777700E+0","7.4367255476965326E+0","3.2964429828192081E+1","1.0623383494036800E+2","1.215058560962404E-2"
"95","4.2724647570731583E-1","1.9891420828015669E-22","5.4404234690601181E-26","-1.3721864511700423E-12","1.4015176878471631E+0","2.2083952863079712E-25","2.7580220752043898E+0","7.4365986593989071E+0","3.2963867376296250E+1","1.0615426738511400E+2","1.215058560962404E-2"
"96","4.2743442405450233E-1","-1.2425039222486274E-22","1.0781520059948341E-25","1.2653398988394457E-13","1.4008324934241108E+0","1.3850107203865226E-26","2.7581949351526101E+0","7.4364711268103107E+0","3.2963302068481589E+1","1.0607473918555900E+2","1.215058560962404E-2"
"97","4.2762241183869032E-1","2.3544940880048198E-22","3.4654853194540832E-26","-5.0734781401791934E-13","1.4001474695820746E+0","-1.3638950339211424E-26","2.7583677359872398E+0","7.4363429488895703E+0","3.2962733900132939E+1","1.0599525585551299E+2","1.215058560962404E-2"
"98","4.2781043901794907E-1","5.9309409039022763E-23","3.1102312743260648E-26","4.4975713630808631E-13","1.3994626163608883E+0","-5.5325232508193109E-25","2.7585404776738698E+0","7.4362141245929987E+0","3.2962162866623999E+1","1.0591581394942099E+2","1.215058560962404E-2"
"99","4.2799850555035612E-1","-4.3795808854892478E-23","2.3712591826797637E-25","-1.1711075037405598E-12","1.3987779338004998E+0","4.7427346915886708E-25","2.7587131601774599E+0","7.4360846528759694E+0","3.2961588963324310E+1","1.0583641639963500E+2","1.215058560962404E-2"
